"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword test","Search for religion for keyword","SUCCESS","2019-02-07T16:23:42.808+02:00[Europe/Athens]","0.0","11.22"
"Search by keyword test","Access tab and validate title vs keyword","SUCCESS","2019-02-08T10:29:37.865+02:00[Europe/Athens]","0.0","20.11"
