"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2019-02-06T14:59:45.38+02:00[Europe/Athens]","0.0","13.41"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2019-02-06T15:00:00.222+02:00[Europe/Athens]","0.0","6.44"
"Search by keyword test","Search for religion for keyword","SUCCESS","2019-02-07T16:23:42.808+02:00[Europe/Athens]","0.0","11.22"
"Search by keyword test","Access tab and validate title vs keyword","SUCCESS","2019-02-08T10:29:37.865+02:00[Europe/Athens]","0.0","20.11"
